TRAPCode,TopoID,GC,Source,NameTopo,Type,LandUseAround,LanduseOn,LandUseSource,Length,Width,Height,ElevationTopo,Condition,Principal,When,OtherSource,ArcheoPotential,RTNumber,RTPosition,RTDescription,Description,Leader,Datum,SurfaceMaterial,SampleCollected,uuid,2017identifier,createdBy,Latitude,Longitude,Northing,Easting,MapSymbol,Source_1,Note_1,GC_1,Mound_ID,DateCompl0,y_proj,x_proj
8098,200658,OK,Legacy verification,,nothing found upon visit - mound not identified,Nodata,Nodata,,NA,,NA,,Nodata,Nodata,,,Nodata,,,, ,BW,,,,1.00E+18,204672,Isaac Roberts,42.30027106,26.70359179,4683158.385,475567.9112,Hairy brown circle,TopomapRU 1:50k,2,No,8098,Thu Sep 21 00:00:00 CEST 2017,42.30068207,26.70407295
8061,200665,OK,Legacy verification,,Extinct Burial Mound,Forest,Scrub,Satellite,0,0,0,,5 - extinct or near extinct,unknown,not applicable,,5 - none or nearly none,0,,, ,BW,Wed Nov 17 00:00:00 CET 2010,No,No,1.00E+18,204651,Isaac Roberts,42.26868479,26.67276836,4679660.524,473013.7436,Hairy brown circle,TopomapRU 1:50k,2,No,8099,Thu Sep 21 00:00:00 CEST 2017,42.2689743,26.67273521
9009,0,OK,Bibliography,,Fortress,Pasture/Scrub,Pasture/Scrub,Photo,25,25,NA,292.6,5 - extinct or near extinct,Looting,last decade,building activity (statue on top),3 - impaired,1,S,,Tursus ,BW,Sat Oct 23 00:00:00 CEST 2010,"pottery, bones",Yes,1.00E+18,202938,Stephanie Black,42.35148545,26.36866826,4688995.445,448003.2273,,,,Y,9009,,42.3514061,26.36860657
9010,0,OK,Survey,,Burial Mound?,Pasture,Pasture/Scrub,Photo,22,23,3,,5 - extinct or near extinct,Construction,last decade,unknown,5 - none or nearly none,0,,,might be also just a waterhouse creating a large heap of soil,BW,Sat Oct 23 00:00:00 CEST 2010,No,,,, ,,,,, , , ,Y,0,,42.35427094,26.36809158
9011,0,OK,Survey,,Burial Mound,Pasture,Pasture/Scrub,Photo,28,28,2,,3 - damaged,Looting,last decade,building activity (transmitor next to it),4 - minimal,2,"N, S",,next to a transmitor,BW,Sat Oct 23 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.35119247,26.36357307
9012,0,OK,Survey,,Burial Mound?,Pasture,Pasture,,31,15,1.5,,5 - extinct or near extinct,Construction,last decade,unknown,5 - none or nearly none,0,,,next to a waterrhouse,BW,Sat Oct 23 00:00:00 CEST 2010,No,No,,, ,,,,, , , ,Y,0,,42.35140228,26.36147499
9013,0,OK,Survey,,Burial Mound,Pasture,Pasture,Photo,24,23,2,,2 - minor damage,Looting,last decade,military activity from the E,3 - impaired,1,top,,maybe used for military purposes ?,BW,Sat Oct 23 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.35162354,26.35927582
9014,0,OK,Survey,,Burial Mound,Pasture,Pasture/Scrub,Photo,13,23,2,,4 - seriously damaged,Looting,recent,building activity (fence),4 - minimal,1,SW,,"cut in halves by a fence, part in the private property entirely dug out (W part)",BW,Sat Oct 23 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.35188675,26.35920525
9015,200158,OK,Legacy verification,,Extinct Burial Mound,Annual agriculture,Annual agriculture,Photo,50,30,0.5,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Sat Oct 23 00:00:00 CEST 2010,"pottery, lithic",Yes,1.00E+18,202922,Stephanie Black,42.37153094,26.36534392,4691223.263,447746.0454,Hairy brown circle,TopomapRU 1:50k,1,No,9015,Thu Sep 21 00:00:00 CEST 2017,42.37170792,26.36645699
9016,200157,OK,Legacy verification,,Extinct Burial Mound,Annual agriculture,Annual agriculture,Photo,30,20,0.3,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Sat Oct 23 00:00:00 CEST 2010,pottery ,Yes,1.00E+18,202923,Stephanie Black,42.37095211,26.36740206,4691157.729,447915.0235,Hairy brown circle,TopomapRU 1:50k,1,No,9016,Thu Sep 21 00:00:00 CEST 2017,42.37084961,26.36833763
9017,200159,OK,Legacy verification,,Burial Mound,Pasture,Pasture,Photo,40,50,1.8,171.7,4 - seriously damaged,road,annual,unknown,3 - impaired,0,,,dirt road leads over the mound,BW,Sat Oct 23 00:00:00 CEST 2010,No,No,1.00E+18,202921,Stephanie Black,42.36997551,26.36393612,4691051.421,447628.8428,Hairy black diamond with a dot inside,TopomapRU 1:50k,2,No,9017,Thu Sep 21 00:00:00 CEST 2017,42.37002182,26.36408997
9018,200155,OK,Legacy verification,,Burial Mound,Pasture,Pasture,Photo,35,35,1.5,,5 - extinct or near extinct,Looting,recent,unknown,4 - minimal,1,S,,trench with five large stones,BW,Sat Oct 23 00:00:00 CEST 2010,,No,1.00E+18,202940,Stephanie Black,42.36700402,26.35476457,4690727.167,446871.1841,Hairy brown circle,TopomapRU 1:50k,1,No,9018,Thu Sep 21 00:00:00 CEST 2017,42.36726379,26.35539436
9019,200154,OK,Legacy verification,,Burial Mound,Pasture,Pasture,Photo,20,15,1,,4 - seriously damaged,Looting,last month,unknown,4 - minimal,2,"N, S",,probably dug out and soil put back again,BW,Sat Oct 23 00:00:00 CEST 2010,No,No,1.00E+18,202941,Stephanie Black,42.36804453,26.35217664,4690844.322,446658.9728,Hairy brown circle,TopomapRU 1:50k,2,No,9019,Thu Sep 21 00:00:00 CEST 2017,42.36831665,26.35304832
9020,200156,OK,Legacy verification,,Extinct Burial Mound,Pasture,Pasture,Photo,50,60,1,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Sat Oct 23 00:00:00 CEST 2010,No,No,1.00E+18,202939,Stephanie Black,42.36839232,26.35555084,4690880.827,446937.0948,Hairy brown circle,TopomapRU 1:50k,1,No,9020,Thu Sep 21 00:00:00 CEST 2017,42.36856842,26.35626602
9021,0,OK,Survey,,Extinct Burial Mound,Annual agriculture,Annual agriculture,Photo,25,25,1.5,,5 - extinct or near extinct,Agriculture,annual,unknown,5 - none or nearly none,0,,,entirely ploughed over,BW,Sat Oct 23 00:00:00 CEST 2010,pottery,Yes,,, ,,,,, , , , ,0,,42.34420013,26.35001945
9022,0,OK,Legacy verification,,Burial Mound,Annual agriculture,Pasture,Photo,30,30,1.5,,3 - damaged,Looting,last month,agriculture,4 - minimal,2,"top, SW",,"around agricultures, succumbs to surroundings",BW,Sat Oct 23 00:00:00 CEST 2010,,No,1.00E+18,202970,Stephanie Black,42.34426345,26.34863363,4688205.984,446347.0182,Hairy brown circle,TopomapRU 1:50k,2,No,9022,Thu Sep 21 00:00:00 CEST 2017,42.34428024,26.34926414
9023,200145,OK,Legacy verification,,Burial Mound,Annual agriculture,Annual agriculture,Photo,30,30,2,,4 - seriously damaged,Agriculture,annual,unknown,4 - minimal,0,,,entirely ploughed over,BW,Sat Oct 23 00:00:00 CEST 2010,No,No,1.00E+18,202968,Stephanie Black,42.33884528,26.35473031,4687600.543,446844.6392,Hairy brown circle,TopomapRU 1:50k,2,No,9023,Thu Sep 21 00:00:00 CEST 2017,42.33901978,26.35530853
9024,200144,OK,Legacy verification,,Extinct Burial Mound,Pasture/Scrub,Pasture/Scrub,Photo,Nodata,unknown,NA,,5 - extinct or near extinct,unknown,unknown,unknown,5 - none or nearly none,0,,,overgrown with bushes,BW,Sat Oct 23 00:00:00 CEST 2010,No,No,1.00E+18,202969,Stephanie Black,42.34187877,26.3531179,4687938.38,446714.3749,Hairy brown circle,TopomapRU 1:50k,1,No,9024,Thu Sep 21 00:00:00 CEST 2017,42.34157562,26.35384941
9025,0,OK,Survey,,Burial Mound,Pasture,Scrub,Photo,25,30,2,,3 - damaged,Bioturbation,annual,building activity ,3 - impaired,0,,,"overgrown with bushes, fence pole on the surface",BW,Sat Oct 23 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.33056641,26.3326416
9026,200356,OK,Legacy verification,,Burial Mound,Pasture,Pasture/Scrub,Photo,35,35,1.5,,1 - pristine,None,not applicable,no,1 - full,0,,,pasture on top with several scrubs,BW,Sat Oct 23 00:00:00 CEST 2010,No,No,1.00E+18,204732,Briana Barton,42.33012853,26.33264796,4686646.705,445017.9624,Hairy brown circle,TopomapRU 1:50k,2,No,9026,Sat Sep 23 00:00:00 CEST 2017,42.33008575,26.33276939
9027,200355,OK,Legacy verification,,Burial Mound,Pasture,Pasture/Scrub,Photo,40,40,4.5,,1 - pristine,Bioturbation,annual,unknown,1 - full,0,,,"overgrown with bushes, next to a modern graveyard",BW,Sat Oct 23 00:00:00 CEST 2010,No,No,1.00E+18,204733,Briana Barton,,,,,Hairy brown circle,TopomapRU 1:50k,4,No,9027,Sat Sep 23 00:00:00 CEST 2017,42.32971954,26.33317566
9028,200351,OK,Legacy verification,,Burial Mound,Annual agriculture,Pasture,Photo,40,40,8,,3 - damaged,Looting,last decade,unknown,2 - good,10,SE,"many, not deep",,BW,Sat Oct 23 00:00:00 CEST 2010,No,No,1.00E+18,204766,Briana Barton,42.29482759,26.33320822,4682726.681,445033.4129,Hairy brown circle,TopomapRU 1:50k,4,No,9028,Sat Sep 23 00:00:00 CEST 2017,42.29502869,26.33335495
9029,0,OK,Survey,,Burial Mound,Annual agriculture,Pasture,Photo,40,40,8,,3 - damaged,Looting,last decade,unknown,3 - impaired,5,top,,probably dug out and soil put back again,BW,Sat Oct 23 00:00:00 CEST 2010,No,No,,, ,,,,, , , , ,0,,42.29563141,26.33342743
9030,200352,OK,Legacy verification,Trite mogila,Burial Mound,Annual agriculture,Pasture,Photo,60,60,7,176.9,4 - seriously damaged,Looting,last year,unknown,3 - impaired,3,"top, SE, SE",,disturbed by a machine twice ,BW,Sat Oct 23 00:00:00 CEST 2010,No,No,1.00E+18,204757,Briana Barton,42.29720235,26.33528096,4682989.027,445206.3372,Hairy black triangle with a dot inside,TopomapRU 1:50k,5,No,9030,Sat Sep 23 00:00:00 CEST 2017,42.29731369,26.33539009
