TRAP №,AKB №,Area,Season,Excavated
9387,10001531,Kirilovo,2016 Bara,
9388,10001537,Kirilovo,2016 Bara,
9389,10001533,Kirilovo,2016 Bara,
9390,10001534,Kirilovo,2016 Bara,
9391,10001535,Kirilovo,2016 Bara,
9392,10001536,Kirilovo,2016 Bara,
9400,10001216,Galabintsi,2016 Bara,
9401,10001217,Galabintsi,2016 Bara,
9402,10001218,Galabintsi,2016 Bara,
9403,10001219,Galabintsi,2016 Bara,
9404,10001220,Galabintsi,2016 Bara,
9405,10001271,Boyadzhik,2016 Bara,
9406,10001272,Boyadzhik,2016 Bara,
9407,10001273,Boyadzhik,2016 Bara,
9409,10001371,Drazhevo,2016 Bara,
9410,10001402,Hadzhidimitrovo,2016 Bara,
9411,10001492,Hadzhidimitrovo,2016 Bara,
9412,10001490,Hadzhidimitrovo,2016 Bara,
9413,10001372,Drazhevo,2016 Bara,
9414,10001373,Drazhevo,2016 Bara,
9415,10001485,Hadzhidimitrovo,2016 Bara,
9416,10001486,Hadzhidimitrovo,2016 Bara,
9417,10001487,Hadzhidimitrovo,2016 Bara,
9418,10001374,Drazhevo,2016 Bara,
9419,10001375,Drazhevo,2016 Bara,
9420,10001449,Kabile,2016 Bara,
9422,10001450,Kabile,2016 Bara,
9423,10001451,Kabile,2016 Bara,
9424,10001452,Kabile,2016 Bara,
9425,10001453,Kabile,2016 Bara,
9426,10001454,Kabile,2016 Bara,
9429,Toshko,Drazhevo,2016 Bara,
9430,10001376,Drazhevo,2016 Bara,
9431,10001377,Drazhevo,2016 Bara,
9442,10001393,Izgrev,2016 Bara,
9443,10001394,Izgrev,2016 Bara,
9444,10001395,Izgrev,2016 Bara,
9445,10001471,Trankovo,2016 Bara,
9446,10001472,Trankovo,2016 Bara,
9447,10001481,Trankovo,2016 Bara,
9448,10001389,Dryanovo,2016 Bara,
9449,10001390,Dryanovo,2016 Bara,
9450,10001391,Dryanovo,2016 Bara,
9451,10001392,Dryanovo,2016 Bara,
9452,10001532,Kirilovo,2016 Bara,
9515,10009407,Zlatari,2017 Adela,
9528,10009409,Zlatari,2017 Adela,
9529,10009410,Zlatari,2017 Adela,
9530,10009411,Zlatari,2017 Adela,
9531,10009412,Zlatari,2017 Adela,
9548,10006458,Stefan Karadzhovo,2018,
9586,Burial Mound,Karavelovo,2017 Adela,
9587,Burial Mound,Karavelovo,2017 Adela,
9588,10007037,Karavelovo,Karavelovo 2019,
9589,10007036,Karavelovo,Karavelovo 2019,
9590,10007035,Karavelovo,Karavelovo 2019,
9591,10007033,Karavelovo,Karavelovo 2019,
9592,10007032,Karavelovo,Karavelovo 2019,
9593,10007028,Karavelovo,Karavelovo 2019,
9594,10007029,Karavelovo,Karavelovo 2019,
9595,10007030,Karavelovo,Karavelovo 2019,
9596,10007031,Karavelovo,Karavelovo 2019,
9597,10007034,Karavelovo,Karavelovo 2019,
9598,10007027,Karavelovo,Karavelovo 2019,
9599,10007026,Karavelovo,Karavelovo 2019,
9600,10007025,Karavelovo,Karavelovo 2019,
9601,10007021,Karavelovo,Karavelovo 2019,
9602,10007023,Karavelovo,Karavelovo 2019,
9603,10007024,Karavelovo,Karavelovo 2019,
9604,Burial Mound,Karavelovo,2017 Adela,
9605,Burial Mound,Karavelovo,2017 Adela,
9606,Burial Mound,Karavelovo,2017 Adela,
9607,Burial Mound,Karavelovo,2017 Adela,
9608,Burial Mound,Karavelovo,2017 Adela,
9609,Burial Mound,Karavelovo,2017 Adela,
9610,Burial Mound,Karavelovo,2017 Adela,
9611,Burial Mound,Karavelovo,2017 Adela,
9612,Burial Mound,Karavelovo,2017 Adela,
9613,Burial Mound,Karavelovo,2017 Adela,
9616,10009413,Zlatari,2017 Adela,
9617,10009414,Zlatari,2017 Adela,
9644,10009404,Bolyarsko,Dikova mogila,
9645,10009405,Bolyarsko,Ivandzhanova mogila,
9648,10006449,Bolyarovo,2018 Bolyarovo,
9650,10006450,Bolyarovo,2018 Bolyarovo,
9651,10006451,Bolyarovo,2018 Bolyarovo,
9652,10006452,Bolyarovo,2018 Bolyarovo,
9657,10006453,Bolyarovo,2018 Bolyarovo,
9661,10006454,Bolyarovo,2018 Bolyarovo,
9664,Burial Mound,Dobrich,2018 Bolyarovo,
9665,Burial Mound,Dobrich,2018 Bolyarovo,
9668,10009376,Popovo,2018 Bolyarovo,
9669,10009377,Popovo,2018 Bolyarovo,
9670,Burial Mound,Dobrich,2018 Bolyarovo,
9671,10009391,Zlatinitsa,2018 Bolyarovo,
9672,10009392,Zlatinitsa,2018 Bolyarovo,
9673,10009393,Zlatinitsa,2018 Bolyarovo,
9675,10009350,Stefan Karadzhovo,2018 Bolyarovo,
9676,10009469,Kamen vrah,2018 Bolyarovo,
9679,10009351,Stefan Karadzhovo,2018 Bolyarovo,
9680,10009352,Stefan Karadzhovo,2018 Bolyarovo,
9681,10009353,Stefan Karadzhovo,2018 Bolyarovo,
9683,10009354,Stefan Karadzhovo,2018 Bolyarovo,
9685,10009355,Stefan Karadzhovo,2018 Bolyarovo,
9686,10009356,Stefan Karadzhovo,2018 Bolyarovo,
9688,10006561,Popovo,2018 Bolyarovo,
9689,2700235,Popovo,2018 Bolyarovo,
9691,10009378,Popovo,2018 Bolyarovo,
9692,10009379,Popovo,2018 Bolyarovo,
9693,10009380,Popovo,2018 Bolyarovo,
9694,10009381,Popovo,2018 Bolyarovo,
9695,10009382,Popovo,2018 Bolyarovo,
9697,Burial Mound,Leyarovo,2018 Bolyarovo,
9698,10009470,Kamen vrah,2018 Bolyarovo,
9699,10009471,Kamen vrah,2018 Bolyarovo,
9701,10009472,Kamen vrah,2018 Bolyarovo,
9703,10009473,Kamen vrah,2018 Bolyarovo,
9704,10009432,Dennitsa,2018 Bolyarovo,
9705,10009431,Dennitsa,2018 Bolyarovo,
9706,Burial Mound,Gorska polyana,2018 Bolyarovo,
9707,10000430,Gorska polyana,2018 Bolyarovo,
9708,Burial Mound,Gorska polyana,2018 Bolyarovo,
9709,Burial Mound,Gorska polyana,2018 Bolyarovo,
9710,Extinct Burial Mound,Gorska polyana,2018 Bolyarovo,
9711,Extinct Burial Mound,Gorska polyana,2018 Bolyarovo,
9712,Extinct Burial Mound,Gorska polyana,2018 Bolyarovo,
9713,10000427,Gorska polyana,2018 Bolyarovo,
9714,10000429,Gorska polyana,2018 Bolyarovo,
9715,10000432,Gorska polyana,2018 Bolyarovo,
9718,10009300,Golyamo Krushevo,2018 Bolyarovo,
9719,10009301,Golyamo Krushevo,2018 Bolyarovo,
9720,10009302,Golyamo Krushevo,2018 Bolyarovo,
9722,10009372,Malko Sharkovo,2018 Bolyarovo,
9723,10009344,Mamarchevo,2018 Bolyarovo,
9724,10009345,Mamarchevo,2018 Bolyarovo,
9725,10009346,Mamarchevo,2018 Bolyarovo,
9726,10009347,Mamarchevo,2018 Bolyarovo,
9727,10006436,Gorska polyana,2018 Bolyarovo,
9728,10006513,Valchi izvor,Excavated by Daniela Agre,excavated
9729,10006437,Gorska polyana,2018 Bolyarovo,
9730,Extinct Burial Mound,Gorska polyana,2018 Bolyarovo,
9731,10006514,Valchi izvor,2018 Bolyarovo,
9732,10009362,Ruzhitsa,Excavated by Daniela Agre,excavated
9733,10009360,Ruzhitsa,2018 Bolyarovo,
9734,10000436,Golyamo Krushevo,2018 Bolyarovo,
9735,10009383,Popovo,2018 Bolyarovo,
9736,10009384,Popovo,2018 Bolyarovo,
9737,10006560,Popovo,2018 Bolyarovo,
9740,10008605,Malomirovo,2022 Malomirovo,
9744,,Malomirovo,2022 Malomirovo,
9745,,Malomirovo,2022 Malomirovo,
9746,10008598,Malomirovo,2022 Malomirovo,
9747,,Malomirovo,2022 Malomirovo,
9801,10006463,Dabovo,2018,
9804,10006439,Bolyarovo,2018 Bolyarovo,
9808,10006464,Dabovo,2018,
9820,10006460,Dabovo,2018,
9821,10006461,Dabovo,2018,
9822,10006462,Dabovo,2018,
9825,,Chernozem,2022 Malomirovo,
9827,10004841,Chernozem,Excavated by Daniela Agre,excavated
9828,,Chernozem,2022 Malomirovo,
9829,,Dobrich,2022 Malomirovo,
9831,,Kirilovo,2022 Malomirovo,
9832,,Kirilovo,2022 Malomirovo,
9833,,Dobrich,2022 Malomirovo,
9834,,Dobrich,2022 Malomirovo,
9835,,Dobrich,2022 Malomirovo,
9836,,Dobrich,2022 Malomirovo,
9837,,Dobrich,2022 Malomirovo,
9838,,Dobrich,2022 Malomirovo,
9839,,Dobrich,2022 Malomirovo,
9840,,Dobrich,2022 Malomirovo,
9841,,Dobrich,2022 Malomirovo,
9842,,Dobrich,2022 Malomirovo,
9843,,Dobrich,2022 Malomirovo,
9844,,Lesovo,2022 Malomirovo,
9845,,Lesovo,2022 Malomirovo,
9846,,Melnitsa,2022 Malomirovo,
9847,,Melnitsa,2022 Malomirovo,
9848,,Melnitsa,2022 Malomirovo,
9849,,Melnitsa,2022 Malomirovo,
9850,,Melnitsa,2022 Malomirovo,
9851,,Melnitsa,2022 Malomirovo,
9852,,Malko Kirilovo,2022 Malomirovo,
9853,,Razdel,2022 Malomirovo,
9854,,Razdel,2022 Malomirovo,
9855,,Razdel,2022 Malomirovo,
9856,,Razdel,2022 Malomirovo,
9857,,Melnitsa,2022 Malomirovo,
9858,,Melnitsa,2022 Malomirovo,
9859,,Melnitsa,2022 Malomirovo,
9860,,Melnitsa,2022 Malomirovo,
9861,,Melnitsa,2022 Malomirovo,
9862,,Razdel,2022 Malomirovo,
9863,,Chernozem,2022 Malomirovo,
9864,,Chernozem,2022 Malomirovo,
9865,,Lesovo,2022 Malomirovo,
9866,,Valcha polyana,2022 Malomirovo,
9867,,Valcha polyana,2022 Malomirovo,
9868,,Lesovo,2022 Malomirovo,
9869,,Lesovo,2022 Malomirovo,
9870,,Lesovo,2022 Malomirovo,
9871,,Lyulin,2022 Malomirovo,
9872,,Lyulin,2022 Malomirovo,
9873,,Lyulin,2022 Malomirovo,
9874,,Lyulin,2022 Malomirovo,
9875,,Lyulin,2022 Malomirovo,
9876,,Lyulin,2022 Malomirovo,
9877,,Lyulin,2022 Malomirovo,
9878,,Lyulin,2022 Malomirovo,
9879,,Nedyalsko,2022 Malomirovo,
9880,,Nedyalsko,2022 Malomirovo,
9881,,Lyulin,2022 Malomirovo,
9882,,Parvenets,2022 Malomirovo,
9883,,Parvenets,2022 Malomirovo,
9884,,Parvenets,2022 Malomirovo,
9885,,Parvenets,2022 Malomirovo,
9886,,Parvenets,2022 Malomirovo,
9887,,Parvenets,2022 Malomirovo,
9895,,Pravdino,2022 Malomirovo,
9896,,Pravdino,2022 Malomirovo,
9897,,Pravdino,2022 Malomirovo,
9898,,Pravdino,2022 Malomirovo,
9899,,Pravdino,2022 Malomirovo,
9903,,Aleksandrovo,2022 Malomirovo,
9904,,Aleksandrovo,2022 Malomirovo,
9905,,Polyana,2022 Malomirovo,
9906,,Polyana,2022 Malomirovo,
9907,,Polyana,2022 Malomirovo,
9908,,Polyana,2022 Malomirovo,
9909,,Polyana,2022 Malomirovo,
9910,,Polyana,2022 Malomirovo,
9911,,Kamenets,2022 Malomirovo,
9912,,Kamenets,2022 Malomirovo,
9913,,Kamenets,2022 Malomirovo,
9914,,Kirilovo,2022 Malomirovo,
9959,,Pravdino,2022 Malomirovo,
9960,,Pravdino,2022 Malomirovo,
9961,,Pravdino,2022 Malomirovo,
9962,,Pravdino,2022 Malomirovo,
9963,,Pravdino,2022 Malomirovo,
9964,,Pravdino,2022 Malomirovo,
9968,,Straldzha,2022 Malomirovo,
9969,10001857,Straldzha,Excavated by St. Alexandrov,excavated
9970,2700128,Straldzha,2022 Malomirovo,
9971,2700127,Straldzha,2022 Malomirovo,
9973,2700125,Straldzha,2022 Malomirovo,
9974,2700124,Straldzha,2022 Malomirovo,
9975,2700126,Straldzha,2022 Malomirovo,
9976,2700123,Straldzha,2022 Malomirovo,
9977,2700122,Straldzha,2022 Malomirovo,
9978,2700120,Straldzha,2022 Malomirovo,
9979,2700119,Straldzha,2022 Malomirovo,
9980,10007969,Straldzha,2022 Malomirovo,
9984,,Straldzha,2022 Malomirovo,
,,,,
,,,,
