"","TRAP","EKATTE","Name_en","distToTown","azimuth"
"1",9301,"30898","Zimnitsa",3430.78895663533,37.0796499139303
"2",9192,"80220","Charda",3723.80750911229,4.24998709200261
"3",9193,"20804","Dzhinot",657.577464954765,88.7747829062152
"4",9199,"80220","Charda",1897.49531165129,32.4402808485965
"5",9195,"80220","Charda",1433.11279217577,312.425175399072
"6",9196,"80220","Charda",1073.75645436456,286.947801582236
"7",9300,"30898","Zimnitsa",2742.09191745692,339.398580962731
"8",9197,"30898","Zimnitsa",2884.58723528073,350.716323029567
"9",9198,"30898","Zimnitsa",2922.07935925302,352.41390741127
"10",9276,"69660","Straldzha",4363.15032851549,21.6760782197941
"11",9274,"69660","Straldzha",4356.69692510822,19.230194717631
"12",9279,"11661","Vodenichane",1259.68160385737,110.473839147002
"13",9280,"11661","Vodenichane",1598.86173785062,74.3737504089195
"14",9281,"11661","Vodenichane",1599.21646682265,71.8925884899928
"15",9273,"11661","Vodenichane",1229.40184132033,328.691795382204
"16",9261,"11661","Vodenichane",1667.98010197469,0.144623178126665
"17",9264,"11661","Vodenichane",1654.12834644542,351.968206835922
"18",9265,"11661","Vodenichane",1750.04337632768,350.948525449816
"19",9271,"11661","Vodenichane",1709.45545104143,342.998052451423
"20",9272,"11661","Vodenichane",2075.24224500802,343.807390475794
"21",9130,"46904","Malak Manastir",2461.35622225514,41.6301106680891
"22",9128,"46904","Malak Manastir",2409.00809097687,57.4313756351024
"23",9131,"46904","Malak Manastir",3368.11072427066,47.2987043877541
"24",9125,"46904","Malak Manastir",1710.92177330672,105.788451518704
"25",9126,"46904","Malak Manastir",1452.67771936376,121.688263548441
"26",9127,"46904","Malak Manastir",1584.15150485335,123.181954487109
"27",9132,"46904","Malak Manastir",1125.66493138676,165.857056134594
"28",9234,"46904","Malak Manastir",3179.33908315116,138.852555889806
"29",9233,"46904","Malak Manastir",3399.41460382998,160.925082059642
"30",9256,"46904","Malak Manastir",3711.05130059368,239.590535440247
"31",9135,"46904","Malak Manastir",2346.84039200675,244.027500557175
"32",9139,"58801","Pchela",391.606578725359,153.329420803896
"33",9138,"58801","Pchela",920.871618538275,110.895932040066
"34",9137,"58801","Pchela",1515.45020184335,81.6461556505104
"35",9136,"58801","Pchela",1854.64586023152,85.0201152399411
"36",9133,"46904","Malak Manastir",1899.18608807009,352.310234175874
"37",9140,"58801","Pchela",1607.2221488626,53.1474305851391
"38",9155,"73328","Trankovo",1189.44331472989,58.1882047886989
"39",9152,"73328","Trankovo",1184.12391237197,65.074249118099
"40",9446,"32576","Izgrev",4076.87487278615,173.564767411292
"41",9445,"32576","Izgrev",3901.41101239219,171.479870357146
"42",9442,"32576","Izgrev",2109.73205577875,171.21239038542
"43",9141,"73328","Trankovo",1646.35335693519,11.1523597356643
"44",9151,"73328","Trankovo",811.400486657222,8.07421678332622
"45",6010,"06001","Boyanovo",3033.66693200427,118.051710602442
"46",6012,"06001","Boyanovo",2061.2157172571,145.118670336999
"47",9388,"36909","Kirilovo",1091.74870469977,149.540123133628
"48",9385,"36909","Kirilovo",766.372636321187,193.398514835333
"49",9387,"36909","Kirilovo",1715.8132127999,224.048247635262
"50",9452,"36909","Kirilovo",1963.77221816618,234.30036291416
"51",9382,"36909","Kirilovo",1810.92629538926,240.546648729981
"52",9359,"06001","Boyanovo",819.994720013122,29.0877491191348
"53",9360,"06001","Boyanovo",440.815912466646,1.5835430270606
"54",8051,"69883","Stroyno",1257.59467529738,75.2432201438543
"55",8009,"06001","Boyanovo",2777.95717568051,207.940864700395
"56",8007,"06001","Boyanovo",2985.91202055042,176.615675412051
"57",6009,"06001","Boyanovo",2890.33083931453,184.860223084021
"58",7004,"06001","Boyanovo",2878.51133074877,182.921303810823
"59",7005,"06001","Boyanovo",4305.22125121415,197.490001538939
"60",6016,"05520","Borisovo",2330.97023290157,121.791754963415
"61",6015,"05520","Borisovo",2322.73225314354,112.621957886966
"62",6025,"69883","Stroyno",1948.9705497277,211.867667561694
"63",8058,"69883","Stroyno",492.568932227643,50.0479126170238
"64",8059,"69883","Stroyno",586.424784396277,45.5948529773875
"65",8057,"69883","Stroyno",678.731601697563,348.623913997458
"66",8060,"69883","Stroyno",1090.75635591464,30.4247281342977
"67",9378,"29516","Zhrebino",2468.32205778424,101.43423504214
"68",9365,"21542","Dobrich",3675.72093489127,217.641680104338
"69",9371,"29516","Zhrebino",2075.47118303333,354.870281403816
"70",9372,"29516","Zhrebino",1365.21609633294,253.003436723138
"71",9375,"29516","Zhrebino",2662.77518559898,224.729556798086
"72",9374,"29516","Zhrebino",2022.01992317104,206.014379932882
"73",8047,"05520","Borisovo",743.353443128514,331.405113380346
"74",8044,"05520","Borisovo",741.454381840112,321.437451728614
"75",8036,"05520","Borisovo",1172.34333511641,47.6274920344681
"76",8041,"05520","Borisovo",1929.79791713541,66.1675123131135
"77",8039,"05520","Borisovo",1396.66276542734,85.1755173628092
"78",8043,"05520","Borisovo",571.63600132449,68.7694650175784
"79",6017,"05520","Borisovo",2308.89682411302,130.431201367306
"80",8049,"05520","Borisovo",517.024138334577,227.384994066212
"81",9194,"20804","Dzhinot",1202.52461372553,96.286260724486
"82",9358,"06001","Boyanovo",1781.03380146303,106.418946470827
"83",9361,"06001","Boyanovo",2560.96612174879,252.44539523193
"84",9377,"29516","Zhrebino",2719.22700662105,92.067339686142
"85",9142,"73328","Trankovo",1607.50479027051,10.9060471217309
"86",9144,"73328","Trankovo",883.479907452601,15.1476319410377
"87",9143,"73328","Trankovo",1201.01243301285,13.7095099914802
