TRAP,Source,Type,LU_Around,LU_Top,DiameterMax,HeightMax,Condition,PrincipalSourceOfImpact,distTown,elevAster,slopeAster,aspectAster,prom250mbuff,TPI,TRI,rough,latitude,longitude
8713,Legacy verification,Burial Mound,Annual agriculture,Pasture,25,2.5,3,Agriculture,2296.892063911169,156.27359008789062,4.476441569324038,209.19834872918992,85.66,0.37139129638671875,1.7706413269042969,5.7694091796875,42.132937159999955,26.58612134
8714,Legacy verification,Burial Mound,Scrub,Pasture,18,1.7,2,Other,2448.5277544931737,167.92047119140625,3.275654462602222,141.53581219342817,88.49,0.4799175262451172,1.2532100677490234,4.216094970703125,42.13150442000001,26.58034382
8715,Survey,Burial Mound,Pasture,Pasture,16,1.2,4,Other,2650.8712083297532,158.88137817382812,6.305765218968558,299.24040367920264,66.67,0.5664215087890625,2.2530059814453125,7.7865447998046875,42.13289207000002,26.578756790000003
8716,Legacy verification,Burial Mound,Pasture,Pasture,25,3,3,Looting,2656.236791132513,158.37808227539062,7.217918512387736,349.6776522883658,30.69,0.23973464965820313,2.9617385864257813,8.4543609619140625,42.13323628000005,26.57921161
9734,Legacy verification,Burial Mound,Pasture,Scrub,10,1,4,Looting,1794.898911121236,294.5525817871094,7.0128633245580305,297.66427890059373,82.85,0.68395233154296875,2.4511642456054687,8.303253173828125,42.21814354000003,26.9323857
8717,Legacy verification,Burial Mound,Pasture,Pasture,70,2.5,1,Post-depositional,2870.340138857834,141.66734313964844,4.24033575545953,327.5218794841871,70.86,-0.051361083984375,1.7001609802246094,5.580596923828125,42.13302433000003,26.57502729999999
8718,Legacy verification,Burial Mound,Pasture,Pasture,12,1.2,5,Looting,3019.631284468359,139.7233123779297,5.023288747741039,330.905718279474,31.79,0.09249305725097656,2.0757999420166016,6.7100372314453125,42.13298419,26.572476550000005
8719,Survey,Burial Mound,Pasture,Pasture,8,1,2,Anthropogenic,3054.999263795232,136.84556579589844,6.60473234779039,322.0484144196092,38.13,-0.12269020080566406,2.480043411254883,8.8085479736328125,42.132964979999976,26.571877900000004
9735,Legacy verification,Burial Mound,Annual agriculture,Annual agriculture,50,1,4,Construction,1497.8980268019825,184.71092224121094,2.3188366621733603,209.64164624464445,61.29,0.9192790985107422,1.068319320678711,3.440582275390625,42.16647110999999,26.72145434
8720,Legacy verification,Burial Mound,Pasture,Pasture,30,8,2,Construction,3561.4349016738797,143.53469848632812,9.010599090679621,315.2766376821314,58.27,0.6189594268798828,3.218259811401367,12.530792236328125,42.13050379000001,26.562019309999997
9736,Legacy verification,Burial Mound,Annual agriculture,Pasture,30,1,4,Looting,1890.2871463039373,182.11119079589844,1.343121064138495,301.8411357807389,34.29,-0.8370571136474609,0.8634014129638672,2.0685577392578125,42.16898107000002,26.724802260000004
8721,Survey,Extinct Burial Mound,Pasture,Scrub,35,2.5,4,Construction,3513.8832230944195,149.31927490234375,6.105628066988755,6.212571735496154,29.82,0.8800258636474609,2.4928722381591797,7.25927734375,42.130461439999976,26.56264929
8722,Survey,Extinct Burial Mound,Pasture,Pasture,11,1,3,Construction,3483.952789891553,148.7002410888672,5.296225753803035,28.706033962084735,53.26,0.8985996246337891,2.3486766815185547,7.3210601806640625,42.13028919999997,26.562934029999997
9737,Legacy verification,Burial Mound,Annual agriculture,Scrub,40,1,4,Anthropogenic,3041.572258121763,200.16688537597656,9.651902022802426,136.67769702742726,88.93,-0.5340404510498047,3.530458450317383,12.592361450195313,42.17706376,26.755162079999995
8723,Legacy verification,Burial Mound,Pasture,Pasture,35,3.5,3,Looting,3383.809439479932,123.08282470703125,5.000992635916967,318.52772006882003,63.67,-0.25301456451416016,1.8218584060668945,7.195075988769531,42.132676509999975,26.561722959999997
8724,Legacy verification,Extinct Burial Mound,Pasture,Pasture,0,0,5,No observation,3231.1173723288853,107.77348327636719,5.423901722169417,333.27424712627527,51.08,0.3091096878051758,2.208876609802246,7.190147399902344,42.134092770000024,26.559324719999996
