"","TRAP","Source","Type","LU_Around","LU_Top","DiameterMax","HeightMax","Condition","PrincipalSourceOfImpact","distBG","distTown","elevAster","slopeAster","aspectAster","prom250mbuff","TPI","TRI","rough"
"1",9255,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture",25,1.7,"5","Agriculture",30563.9476697948,1937.64256794723,164.99348449707,5.9905623310917,345.319303310826,73.74,0.189128875732422,2.49748229980469,6.99761962890625
"2",9446,"Legacy verification","Burial Mound","Annual agriculture","Scrub",40,5,"2","Looting",26643.3151638046,2928.09891395775,171.945205688477,5.23451839913085,61.8181577874221,94.6,1.34037971496582,2.26261329650879,6.39427185058594
"3",9445,"Legacy verification","Burial Mound","Pasture","Scrub",20,1.5,"4","Agriculture",26500.7356858583,3133.82502243022,174.508026123047,5.15245098214008,148.503464617385,70.71,0.370336532592773,2.04138374328613,6.83845520019531
"4",8007,"survey","Burial Mound","Pasture","Pasture",15,4.5,"1","Post-depositional | Development",33549.6954402089,2100.38609632241,211.42887878418,4.15813549696086,21.7310488467272,96.77,0.66615104675293,1.75750541687012,5.2149658203125
"5",7011,"survey","Burial Mound","Annual agriculture","Annual agriculture",45,1.5,"5","Agriculture",36012.671664846,1265.72542477357,201.229537963867,5.54408417249368,0.841395626861037,70.04,0.0671253204345703,2.25175285339355,6.22193908691406
"6",9066,"Survey","Burial Mound","Annual agriculture","Pasture",40,3,"5","Looting",39186.5305941324,1091.67105521949,157.524841308594,4.46634006276651,324.69052612123,80.8,-0.0434207916259766,1.71440315246582,6.00123596191406
"7",9146,"Survey","Burial Mound","Annual agriculture","Annual agriculture",40,5,"5","Agriculture",27341.3385483862,67.4673647816546,146.526962280273,4.59564615012876,42.5735703777691,86.79,0.830982208251953,1.83861923217773,6.295166015625
"8",9212,"Survey","Burial Mound","Pasture","Pasture",40,2,"3","Construction",55782.134222936,291.879433630958,208.416061401367,3.77829922911061,349.014432926518,88.17,1.61515426635742,1.76113891601562,4.73968505859375
"9",9253,"Survey","Burial Mound","Forest","Scrub",25,3,"5","Looting",31703.1321893069,563.527375288344,190.030212402344,4.22152846743965,53.6037651614715,86.5,0.756792068481445,1.7137508392334,5.23373413085938
"10",9447,"Survey","Burial Mound","Annual agriculture","Scrub",25,0.5,"5","Agriculture",26624.4504696562,2995.25140765492,178.072998046875,4.88592586677757,51.2181490561968,79.35,1.08965682983398,2.12607955932617,6.37901306152344
"11",9451,"Survey","Burial Mound","Pasture","Scrub",20,1,"5","Looting",30205.1696763388,567.904444768286,187.304260253906,5.85563757245947,242.977401489223,78.42,0.374549865722656,1.95809173583984,7.49610900878906
"12",6000,"survey","Burial Mound","Annual agriculture","Scrub",30,2.5,"1","Post-depositional",34238.4650763915,1682.32191017253,163.762756347656,5.11591718407462,290.507092167406,89.82,0.0802822113037109,1.68036842346191,5.79338073730469
"13",6004,"survey","Burial Mound","Forest","Forest",12,0.5,"5","Looting",33886.3315580485,2282.13407018767,154.981567382812,5.11488209874047,254.016557604484,82.01,0.571355819702148,1.66897010803223,5.19258117675781
"14",8050,"RS:FNEG","Burial Mound","Annual agriculture","Scrub",40,0.7,"4","Agriculture",34356.9858415311,314.157511565273,227.70426940918,6.26529149332804,281.699436803682,83.39,1.42991065979004,2.07763862609863,6.30419921875
