"","TRAP","Zemlishte","DistanceZemlishte","DirectionToZemlishte","Easting","Northing","Source","Type","LU_Around","LU_Top","DiameterMax","HeightMax","Condition","PrincipalSourceOfImpact","elevAster","slopeAster","aspectAster","prom250mbuff","TPI","TRI","rough"
"32",8588,"Chernozem",1758.95114130578,72.7849940004791,465858.977003719,4661842.73357143,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture","25","0.5","4 - seriously damaged","Agriculture",172.538360595703,4.43526768764142,56.8980646127701,57.25,1.38931274414062,1.85357666015625,5.19398498535156
"33",8589,"Chernozem",1875.89881036912,74.4367856054768,465732.009662304,4661860.00338913,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture","0","0","0 - No observation","Agriculture",164.809509277344,9.12676328389265,287.264092154266,66.67,0.865739822387695,3.0661449432373,10.2352752685547
"34",8590,"Chernozem",1808.69004830937,71.8469816104945,465820.461044751,4661799.80167117,"Legacy verification","Burial Mound","Forest","Forest","20","2.5","4 - seriously damaged","Looting",172.397720336914,2.58031779212424,177.576193578862,64.75,0.492458343505859,1.02938842773438,3.42788696289062
"35",9744,"Malomirovo",762.799838694616,33.5278450494129,469982.59026516,4665046.94024943,"Survey","Surface Scatter","Annual agriculture","Annual agriculture","90","0.5","3 - damaged","Agriculture",146.324417114258,3.42168844400163,138.366680672945,47.12,0.380058288574219,1.25412368774414,4.50868225097656
"36",8742,"Granitovo",3154.53731235459,177.617842638091,461416.902971252,4663743.7511994,"Legacy verification","Burial Mound","Scrub","Pasture","40","1.8","3 - damaged","Looting",94.8552932739258,3.50024163512011,134.567235693888,8.76,0.698250770568848,1.49714374542236,3.7510986328125
"37",8743,"Granitovo",2695.23841853469,190.938855453,462059.471776164,4663238.20658032,"Legacy verification","Burial Mound","Scrub","Pasture","25","4.5","3 - damaged (01 trench is minor damage. the geodetic marker also creates damage )","Looting",138.768951416016,4.69551192265333,58.1179952960974,79.64,0.445758819580078,1.84508895874023,5.3834228515625
"38",8591,"Granitovo",2851.1075567076,339.566442593409,462543.401130292,4657920.23072883,"Legacy verification","Burial Mound","Annual agriculture","Pasture","30","2.5","3 - damaged","Looting",220.859329223633,5.32251892520359,189.121139369272,77.54,0.222108840942383,2.22436332702637,6.14999389648438
"39",8744,"Granitovo",2773.40104387156,191.328127565829,462092.792071771,4663311.31057443,"Survey","Burial Mound?","Scrub","Pasture","15","1.2","3 - damaged","Looting",133.981857299805,2.89407640703633,15.0259207175461,24.82,0.594158172607422,1.202880859375,3.60356140136719
"40",8592,"Granitovo",2577.18356456015,344.689650809099,462228.518063126,4658106.22131815,"Legacy verification","Burial Mound","Annual agriculture","Pasture","25","1.7","3 - damaged","Construction",218.854919433594,3.98876005758755,192.047632893364,90.65,-1.13678932189941,2.14539527893066,7.00253295898438
"41",8745,"Granitovo",2785.87880819154,191.665159236992,462111.301643548,4663320.2790728,"Legacy verification","Burial Mound","Scrub","Pasture","16","3","2 - minor damage","Looting",133.384887695312,3.21214103386803,38.3219724367608,51.8,0.526205062866211,1.32773017883301,4.03004455566406
"42",8746,"Granitovo",2743.14511886371,191.114137971783,462076.799671949,4663283.63775267,"Survey","Uncertain Feature","Scrub","Pasture","12","0.7","5 - extinct or near extinct","Looting",134.989532470703,2.4748438246845,30.28574433305,25.99,0.127967834472656,0.975704193115234,3.59941101074219
"43",8593,"Melnitsa",1604.66371973109,138.411012471672,463001.945281554,4656384.25947433,"Legacy verification","Burial Mound","Annual agriculture","Scrub","20","1.5","2 - minor damage","Animal activity",238,0.142272595967188,260.896794305039,95.26,0.296417236328125,0.296417236328125,0.841583251953125
"44",8594,"Melnitsa",1867.97734734992,105.593392044851,462267.869150718,4655686.21889213,"Legacy verification","Burial Mound","Annual agriculture","Scrub","15","0.5","2 - minor damage","Animal activity",211.711044311523,2.84470295487931,35.653771407771,84.84,0.0588150024414062,1.11419296264648,4.37098693847656
"45",8747,"Granitovo",2014.43161958254,207.728234169308,462485.291080501,4662375.04323215,"Legacy verification","Burial Mound","Scrub","Pasture","14","1.2","2 - minor damage","Other (Geodetic marker on top of the mound )",182.979919433594,1.28242541551929,153.838912703862,87.05,0.902961730957031,0.902961730957031,2.56794738769531
"46",8595,"Granitovo",5166.84576431867,353.07223146029,462171.234207286,4655462.81734081,"Legacy verification","Other","Scrub","Scrub","5","3","2 - minor damage","Erosion",214.976425170898,4.10188971217432,163.684460777641,55.11,1.43416976928711,1.91647720336914,5.69645690917969
"47",8748,"Granitovo",1994.94941902455,206.951271901419,462452.195817934,4662370.22252951,"Survey","Other","Scrub","Pasture","14","2","1 - pristine","Other (military and vegetation )",182.864852905273,0.924834779494818,354.399556178122,78.26,0.690505981445312,0.763439178466797,2.38191223144531
"48",8596,"Melnitsa",3219.24000865212,57.3862642164122,461355.45234972,4653449.0076705,"Legacy verification","Extinct Burial Mound","Scrub","Scrub","10","0","0 - No observation","Natural",227.561004638672,3.20358844038312,323.954803369607,54.29,0.330299377441406,1.27898406982422,4.28495788574219
"49",8749,"Granitovo",2346.55156956449,270.940996405517,463894.254883461,4660553.4031447,"Legacy verification","Burial Mound","Pasture","Scrub","25","4.5","4 - seriously damaged","Looting",172.705596923828,0.739406518645607,27.0314973329723,78.7,0.185062408447266,0.449977874755859,1.34019470214844
"50",8750,"Granitovo",2433.66854348601,271.680326389811,463980.641811496,4660520.57744636,"Legacy verification","Burial Mound","Scrub","Pasture","15","4","2 - minor damage","Road cut",165.345733642578,11.1735899306166,76.9634497651381,34.06,0.332574844360352,3.66378974914551,11.1355743408203
"51",8751,"Granitovo",2475.45065174943,290.284963698871,463869.942853215,4659733.72720274,"Legacy verification","Other","Perennial agriculture","Pasture","14","1.2","2 - minor damage","Other (geodetic marker)",221.503753662109,2.81941727555822,58.5382032714522,42.81,-0.08856201171875,1.09838104248047,3.79202270507812
"52",8597,"Melnitsa",1294.04431964049,63.6305781375252,462907.695306957,4654609.33130929,"Legacy verification","Other","Forest","Forest","0","0","0 - No observation","No observation",215.627410888672,6.08754730984171,6.44653699362047,96.04,0.83575439453125,2.54501342773438,7.27046203613281
"53",8752,"Melnitsa",2707.45712850691,178.292210014287,463986.404900493,4657890.34478438,"Legacy verification","Other","Perennial agriculture","Perennial agriculture","0","0","0 - No observation","No observation",241.876510620117,4.08999567084336,25.7641445798763,3.6,0.174646377563477,1.65243721008301,5.467529296875
"54",8598,"Elhovo",2311.20006132885,221.276865156306,465959.766292011,4670702.25317529,"Legacy verification","Burial Mound","Annual agriculture","Scrub","27","3","2 - minor damage","Animal activity",125.468795776367,1.02986677409177,83.3000716899362,98.56,0.198756217956543,0.387993812561035,1.12174987792969
"55",8599,"Elhovo",2404.32012631303,221.268571107554,466020.93585414,4670772.46533675,"Legacy verification","Burial Mound","Annual agriculture","Scrub","40","4","3 - damaged","Looting",125,0.330471952368773,140.580037290182,80.58,0.110738754272461,0.110738754272461,0.673919677734375
"56",9745,"Malomirovo",1459.1844091274,54.4245267666978,469217.089329268,4664833.90674409,"Survey","Surface Scatter","Annual agriculture","Annual agriculture","0","0","0 - No observation","Agriculture",145.209808349609,6.07290900231652,177.133364667044,46.24,0.257268905639648,2.49206733703613,8.08074951171875
"57",9829,"Dobrich",2753.96039015488,194.552450412373,472794.24990788,4671236.78443446,"Legacy verification","Other","Pasture","Pasture","22","2.5","1 - pristine","Other (Military construction and geodetic marker)",196.718704223633,1.72748285626535,38.2233948558453,65.09,-0.0549736022949219,0.702571868896484,2.2352294921875
"58",8600,"Elhovo",2838.56088629728,219.435857702572,466238.165205171,4671157.63896994,"Survey","Surface Scatter","Annual agriculture","Annual agriculture","80","0","0 - No observation","Agriculture",135.659851074219,1.95486394272569,352.714450996709,21.94,0.134881973266602,0.762266159057617,2.32879638671875
"59",8601,"Elhovo",3546.25554893884,215.285644379866,466483.577195951,4671860.06148956,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture","40","2","4 - seriously damaged","Agriculture",148.793640136719,2.77294300683837,282.236488888185,64.03,0.765876770019531,1.21490478515625,3.34226989746094
"60",9830,"Dobrich",2800.21276392522,192.883914979803,472726.654339256,4671300.89065432,"Survey","Burial Mound","Scrub","Pasture","25","1.5","4 - seriously damaged","Other (Military activity )",195.503677368164,2.87751241779403,0.311379981397767,61.51,-0.100124359130859,1.15117645263672,3.99258422851562
"61",8602,"Kirilovo",2288.51668000953,353.973335671976,468484.81697469,4672245.3664085,"Legacy verification","Burial Mound","Annual agriculture","Pasture","36","2.5","3 - damaged","Looting",157.059692382812,4.81882157221256,327.195766059457,70.61,0.428169250488281,1.89946365356445,6.6827392578125
"62",8603,"Kirilovo",2253.81244409187,349.556403980402,468653.085589725,4672304.75937787,"Legacy verification","Extinct Burial Mound","Annual agriculture","Pasture","0","0","5 - extinct or near extinct","Agriculture",155.053405761719,5.58863103226308,358.182165263733,54.12,0.26707649230957,2.25412178039551,6.28269958496094
"63",9831,"Kirilovo",3135.89639392526,325.756931910878,470009.126998631,4671928.92146205,"Legacy verification","Other","Annual agriculture","Scrub","10","0","1 - pristine","Other (Geodetic point )",170.147415161133,4.34830623712963,149.458268666649,75.54,-0.0141334533691406,1.76545715332031,5.62416076660156
"64",9832,"Kirilovo",3198.97113792632,325.239692353651,470068.418695238,4671893.13801925,"Survey","Surface Scatter","Annual agriculture","Annual agriculture","0","0","2 - minor damage","Agriculture",166.151397705078,4.27612392429699,158.058929171454,68.23,-0.352880477905273,1.75901222229004,5.27996826171875
"65",8604,"Elhovo",4609.91284576623,245.607209937637,468633.48352577,4670869.16279887,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture","45","2","4 - seriously damaged","Agriculture",166.715133666992,1.35915586515714,324.655602043266,94.62,0.303348541259766,0.545021057128906,1.99562072753906
"66",8605,"Elhovo",4109.68854033338,249.298384492753,468279.41426414,4670418.09559243,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture","45","2","4 - seriously damaged","Agriculture",166.032424926758,2.55884049370353,109.38064129839,56.12,0.658473968505859,1.01125717163086,3.31983947753906
"67",9833,"Dobrich",1902.04983660414,150.902234454199,471177.303504655,4670233.17091009,"Survey","Uncertain Feature","Annual agriculture","Scrub","14","1.8","1 - pristine","Agriculture",151.941421508789,4.46847894705742,311.298791369523,3.6,-0.566055297851562,1.58442687988281,5.91206359863281
"68",8606,"Elhovo",3921.17935374819,248.963865162394,468094.920941022,4670372.84913097,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture","25","0.4","4 - seriously damaged","Agriculture",158.736740112305,4.80726429572253,296.306671936054,95.7,0.0261611938476562,1.54990386962891,5.70954895019531
"69",9834,"Dobrich",1864.73908290133,151.179334883816,471203.338602933,4670204.93572095,"Survey","Uncertain Feature","Annual agriculture","Scrub","5","1.6","2 - minor damage (Animal holes)","Agriculture",156.83366394043,3.9185520477615,312.429113119378,0.36,0.188451766967773,1.30766105651855,5.13720703125
"70",9835,"Dobrich",1805.18245115203,152.341509728432,471264.306273945,4670170.08106861,"Survey","Uncertain Feature","Annual agriculture","Scrub","14","1.7","2 - minor damage","Agriculture",160.971145629883,4.772889071894,279.900497085381,34.3,0.450895309448242,1.52713203430176,5.01408386230469
"71",9836,"Dobrich",1443.21200517387,157.935530126595,471560.130759214,4669908.69021452,"Legacy verification","Other","Annual agriculture","Scrub","40","3","2 - minor damage (On the entrance on the north west side of the bunker. As a military structure it is in good condition. )","Other (Military activity )",180.138153076172,0.584735880865714,195.304977539267,57.09,0.138938903808594,0.292240142822266,1.4959716796875
"72",9837,"Dobrich",2588.89141757137,99.8113893689473,469551.246414074,4669012.33754067,"Legacy verification","Other","Annual agriculture","Scrub","2","1","2 - minor damage (Entrance damaged )","Other (Military construction )",154.851272583008,3.48491123244854,184.087084069472,16.25,-0.164474487304688,1.39033889770508,4.92617797851562
"73",9838,"Dobrich",2593.62054574287,100.079947182488,469548.6861157,4669025.11757002,"Legacy verification","Burial Mound?","Annual agriculture","Annual agriculture","30","0.4","5 - extinct or near extinct","Agriculture",154.851272583008,3.48491123244854,184.087084069472,82.67,-0.164474487304688,1.39033889770508,4.92617797851562
"74",9839,"Dobrich",2648.8804083146,100.279100812213,469495.906433633,4669043.85154107,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture","25","0.5","5 - extinct or near extinct","Agriculture",153.169692993164,4.554292063404,292.326377799961,72.14,0.0552120208740234,1.45730400085449,4.88121032714844
"75",9840,"Dobrich",2677.82245312247,101.23255350759,469475.745021616,4669092.79401676,"Survey","Other","Annual agriculture","Scrub","11","0.3","3 - damaged","Erosion",150.161468505859,4.26584476566174,259.490158039262,1.08,-0.897762298583984,1.88589096069336,5.10015869140625
"76",9841,"Dobrich",2900.75416457351,116.230791086336,469500.235499702,4669853.27499856,"Survey","Other","Annual agriculture","Scrub","20","1.5","1 - pristine","Erosion",154.341323852539,4.38067486650233,33.9115206637914,59.06,0.0433998107910156,1.7271728515625,5.88067626953125
"77",9842,"Dobrich",2912.70625882,115.466693903329,469472.578534352,4669823.60045609,"Legacy verification","Other","Annual agriculture","Scrub","7","1","1 - pristine","Other (geodetic marker )",158.123474121094,2.80422480464003,14.2690148141884,90.29,0.902658462524414,1.2570629119873,3.60595703125
"78",9843,"Dobrich",2931.25780909797,114.23848427221,469429.42129123,4669774.56218127,"Survey","Other","Annual agriculture","Scrub","6","0","5 - extinct or near extinct","Other (Collapsed and poorly made)",157.648254394531,3.07159902208496,224.206236018802,5.73,0.867515563964844,1.26824951171875,4.47886657714844
"79",8607,"Lesovo",2342.12307281491,319.665118810638,466167.828321998,4647590.96198818,"Legacy verification","Burial Mound","Pasture","Pasture","30","1","3 - damaged","Looting",323.768646240234,2.03883781839731,307.037830725707,56.83,-0.127311706542969,0.6593017578125,2.09774780273438
"80",8608,"Lesovo",2092.31572792716,301.387181449632,466438.021475334,4648286.58544606,"Legacy verification","Extinct Burial Mound","Annual agriculture","Annual agriculture","15","0.3","5 - extinct or near extinct","Agriculture",321.002838134766,1.80068547740469,268.671281655069,52.69,-0.0481910705566406,0.550060272216797,2.00213623046875
"81",9844,"Lesovo",3107.48081145525,112.575672299443,461782.515047574,4650569.27463503,"Legacy verification","Extinct Burial Mound","Scrub","Scrub","0","0","5 - extinct or near extinct","Agriculture",290,0.377838329817929,122.055025704193,71.01,-0.707645416259766,0.707645416259766,1.26040649414062
"82",9845,"Lesovo",2344.27890633182,99.9661110300099,462342.975459501,4649782.01668818,"Legacy verification","Other","Pasture","Pasture","15","1.7","2 - minor damage","Erosion",296.405334472656,2.41323033751096,222.393062889355,46.24,0.737430572509766,1.03397750854492,3.18743896484375
"83",8609,"Lesovo",2799.63300731939,275.891306724851,467436.726346186,4649088.94366646,"Legacy verification","Other","Pasture","Pasture","38","3","0 - No observation","Construction",365,0.466009606403376,313.00430326826,93.48,0.579143524169922,0.579143524169922,1.0687255859375
"84",8610,"Lesovo",4060.2601398103,263.368677962186,468684.975998107,4649845.18209847,"Legacy verification","Burial Mound","Pasture","Pasture","45","2.5","2 - minor damage","Post-depositional",369.020782470703,5.83281428306658,6.35213119878325,23.91,0.95855712890625,2.47658538818359,7.52743530273438
"85",9846,"Melnitsa",1966.70294010918,346.068958145473,464540.584381144,4653275.23555206,"Legacy verification","Burial Mound","Scrub","Scrub","18","2.5","3 - damaged","Looting",262.868591308594,1.72936919464295,212.722863536019,67.64,0.566448211669922,0.831333160400391,3.09323120117188
"86",9847,"Melnitsa",2275.50022353697,317.483548918743,465604.880238391,4653506.85698528,"Legacy verification","Burial Mound?","Pasture","Forest","15","3","2 - minor damage","Agriculture",184.963653564453,2.15439332325187,349.852165758126,31.05,0.142513275146484,0.892902374267578,2.99497985839844
"87",8611,"Lesovo",3773.70650999383,232.408464699917,467642.088592741,4651678.36955235,"Legacy verification","Uncertain Feature","Scrub","Pasture","20","0.5","4 - seriously damaged","Construction",277.73388671875,3.35283054225224,218.218368826367,92,0.0309677124023438,1.27499389648438,4.43771362304688
"88",8753,"Malomirovo",2156.09269198958,340.988481821715,471106.281719364,4663644.33899988,"Legacy verification","Burial Mound","Annual agriculture","Scrub","30","3","2 - minor damage","Animal activity",167.243225097656,3.23508262725349,339.007431288892,53.57,0.601676940917969,1.30556106567383,4.18949890136719
"89",9848,"Melnitsa",1447.59207374801,215.006672532733,464897.535722648,4656369.79156426,"Legacy verification","Burial Mound","Scrub","Forest","35","4.5","2 - minor damage","Erosion",221.705139160156,1.45931150265051,107.692516673344,15.41,0.188224792480469,0.452224731445312,1.44358825683594
"90",8612,"Lesovo",2751.97295241284,241.889050005575,467079.221382968,4650672.97839297,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture","50","6","3 - damaged","Agriculture",284.438873291016,4.66413431134803,308.958379487883,34.89,0.424556732177734,1.6669807434082,5.982177734375
"91",8754,"Malomirovo",2096.57512567525,340.663527153978,471098.124518846,4663704.51544869,"Survey","Other","Scrub","Pasture","8","2.5","0 - No observation","Other",163.690063476562,2.36339174663587,324.380411839695,24.09,-0.114946365356445,0.90742301940918,3.07835388183594
"92",9746,"Malomirovo",296.965554862334,282.828678921399,470693.469590814,4665616.88632154,"Survey","Burial Mound","Urban","Pasture","40","4","1 - pristine","No observation",158.590682983398,2.19270213111434,113.388473217224,72.76,-0.214635848999023,0.672048568725586,2.2037353515625
"93",8614,"Valcha polyana",620.729839256049,284.019818433009,473884.582899453,4650694.23711913,"Legacy verification","Burial Mound","Pasture","Pasture","22","3","2 - minor damage","Animal activity",287.776641845703,2.70316817618885,226.410661162964,63.27,-0.114459991455078,0.941173553466797,3.69155883789062
"94",9849,"Melnitsa",1202.05065980191,254.273809999319,465224.148374177,4655509.89463185,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture","30","2","2 - minor damage","Agriculture",212.489334106445,3.6897676707429,307.716516221584,18.71,1.11770629882812,1.64692687988281,5.54287719726562
"95",8755,"Golyam Dervent",3519.04561331442,205.660453980245,480275.04492142,4651341.42234197,"Survey","Burial Mound?","Forest","Scrub","12","0.6","2 - minor damage","Post-depositional",435.506439208984,3.56642053920498,136.33479434603,76.53,0.669876098632812,1.28882598876953,5.07843017578125
"96",8615,"Valcha polyana",891.714725152631,304.239710583311,474019.515733431,4650342.88451529,"Legacy verification","Burial Mound","Pasture","Scrub","20","2.5","3 - damaged","Looting",294.545379638672,4.15566743178407,309.645638537197,79.42,-0.0496864318847656,1.40340042114258,5.35406494140625
"97",9850,"Melnitsa",1150.36692826276,255.096572402097,465178.762314558,4655479.95382634,"Legacy verification","Burial Mound","Annual agriculture","Annual agriculture","30","2","2 - minor damage","Agriculture",210.195724487305,3.37888290135767,232.666310119315,14.75,1.00874519348145,1.56975364685059,4.17127990722656
